Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,1112.651489,1117.314575,1101.862305,1107.211182,1084.951050,8813022
2019-07-30,1109.954224,1115.485962,1075.209595,1079.735474,1058.027710,10426558
2019-07-31,1075.026733,1083.484253,1062.820313,1066.340576,1044.902100,10614975
2019-08-01,1063.734619,1086.410156,1051.802612,1079.141235,1057.445435,11314111
2019-08-02,1074.980957,1095.599121,1062.546021,1082.889893,1067.488037,11883403
2019-08-05,1067.026245,1067.026245,1031.367310,1045.402344,1030.533813,15199566
2019-08-06,1037.539063,1051.116943,1025.881348,1031.641602,1016.968689,14533997
2019-08-07,1029.995850,1041.013550,1008.600403,1014.360718,999.933594,12674684
2019-08-08,1013.400635,1058.797241,1001.468628,1053.631348,1038.645752,15599284
2019-08-09,1062.317505,1074.798096,1053.585571,1062.546021,1047.433594,10985004
2019-08-13,1127.509399,1191.192627,1120.971924,1165.545654,1148.968140,52413572
2019-08-14,1192.289917,1192.701294,1170.665894,1177.889160,1161.136108,15844491
2019-08-16,1180.586426,1181.135010,1163.945557,1168.517212,1151.897583,10988883
2019-08-19,1171.305908,1185.706665,1170.345825,1181.866455,1165.057007,8158801
2019-08-20,1179.306396,1181.866455,1163.579834,1166.642822,1150.049805,7484649
2019-08-21,1166.368530,1169.111572,1158.002441,1162.071167,1145.543213,5338924
2019-08-22,1162.071167,1162.116821,1132.766846,1139.944336,1123.731201,7015976
2019-08-23,1132.858276,1174.003174,1121.429077,1166.551392,1149.959717,10653957
2019-08-26,1183.146484,1183.146484,1151.144897,1158.276733,1141.802856,9601252
2019-08-27,1174.917480,1174.917480,1153.156372,1165.637085,1149.058472,14200953
2019-08-28,1164.631348,1171.260254,1148.447632,1155.076538,1138.648071,5802744
2019-08-29,1148.813354,1152.287842,1129.475220,1135.372681,1119.224365,9445111
2019-08-30,1138.801392,1146.938965,1116.400269,1141.590088,1125.353394,12367620
2019-09-03,1135.829834,1136.515625,1097.199219,1103.051025,1087.362427,9365309
2019-09-04,1097.702148,1101.999512,1084.444336,1098.250732,1082.630493,16474697
2019-09-05,1103.416748,1109.268433,1091.073242,1095.919189,1080.332275,11497743
2019-09-06,1099.942261,1123.714966,1092.856201,1117.771729,1101.873901,11593409
2019-09-09,1116.080200,1127.372192,1109.222778,1117.497437,1101.603394,5873964
2019-09-11,1117.771729,1133.772583,1117.771729,1128.652344,1112.599731,6063950
2019-09-12,1129.200928,1134.183960,1102.411011,1106.662598,1090.922729,5940002
2019-09-13,1108.171265,1123.257690,1103.508179,1120.606201,1104.667847,6473857
2019-09-16,1087.141602,1114.662964,1084.489990,1107.028320,1091.283203,10273865
2019-09-17,1107.256958,1107.256958,1091.256104,1094.867676,1079.295532,7820386
2019-09-18,1101.725220,1112.102905,1094.639160,1102.411011,1086.731445,7466954
2019-09-19,1104.376709,1106.068237,1072.192261,1078.043945,1062.711060,6883111
2019-09-20,1086.181519,1161.111084,1073.700928,1146.893188,1130.581055,24082780
2019-09-23,1164.997070,1171.260254,1129.200928,1133.041138,1116.926147,10805422
2019-09-24,1137.064209,1187.535278,1136.286987,1169.157227,1152.528442,17479487
2019-09-25,1174.003174,1184.060913,1160.151123,1169.934448,1153.294678,9096135
2019-09-26,1181.317871,1187.535278,1173.546021,1185.706665,1168.842529,9175228
2019-09-27,1181.775024,1202.347534,1174.003174,1196.907227,1179.883789,9529331
2019-09-30,1197.775879,1221.319946,1193.707031,1218.119751,1200.794678,12631885
2019-10-01,1222.462891,1227.034546,1182.506470,1193.112793,1176.143311,8960192
2019-10-03,1175.831909,1202.073242,1171.534546,1198.735962,1181.686646,6762425
