Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,447.301910,450.737396,443.179321,446.712952,441.118622,5154587
2020-01-06,445.535065,449.019653,436.455536,441.363403,435.836060,7538915
2020-01-07,443.670105,446.909271,434.934113,436.897247,431.425842,4353883
2020-01-08,434.443329,452.258850,432.234802,450.393860,444.753418,14118818
2020-01-09,459.767853,466.197144,446.909271,451.620819,445.965027,18180867
2020-01-10,456.234192,457.363007,445.829559,448.577942,442.960236,37724966
2020-01-13,450.541077,461.632843,445.878632,460.258636,454.494690,15206224
2020-01-14,460.258636,463.939545,458.001038,460.700348,454.930878,8238486
2020-01-15,460.847595,463.301514,456.430511,459.227997,453.476929,10875259
2020-01-16,460.553101,468.160278,459.375244,465.166504,459.341064,16290593
2020-01-17,466.344391,494.515472,466.344391,490.834595,484.687714,61915666
2020-01-20,489.803925,503.251465,485.141479,499.325165,493.071960,45298836
2020-01-21,500.601227,505.509064,495.104401,502.318970,496.028290,65202963
2020-01-22,505.263672,514.097839,497.362030,505.018280,498.693756,20285793
2020-01-23,505.509064,516.306335,502.907898,513.999634,507.562653,15772863
2020-01-24,510.907715,517.631470,504.674744,514.588623,508.144257,23824625
2020-01-27,511.545715,514.441345,502.466187,504.920135,498.596893,11856786
2020-01-28,504.871033,504.920135,477.141663,482.196747,476.158051,31674769
2020-01-29,484.012665,492.159698,479.252045,481.215179,475.188782,20037283
2020-01-30,482.932922,483.816345,471.252228,480.773468,474.752563,15337903
2020-01-31,484.110809,490.196564,478.025085,487.300934,481.198303,18356252
2020-02-03,486.908295,503.889465,486.908295,500.650299,494.380493,15212799
2020-02-04,504.527496,512.968994,494.171936,509.337189,502.958588,14646591
2020-02-05,508.453766,527.594421,506.294312,523.520874,516.964661,30647706
2020-02-06,525.189575,542.612427,524.257080,536.723022,530.001465,17180298
2020-02-07,538.784302,538.882507,528.330566,529.508484,522.877258,8967847
2020-02-10,530.244629,533.631104,526.220215,528.772278,522.150269,8570467
2020-02-11,529.557556,534.612671,522.931946,524.453369,517.885437,6622800
2020-02-12,526.122070,532.355042,525.140503,529.655701,523.022583,5160923
2020-02-13,529.753845,532.747681,521.950378,529.999268,523.361938,5729055
2020-02-14,534.858032,557.090637,524.404297,554.587646,547.642395,37517890
2020-02-17,554.538513,558.219421,546.244263,554.440369,547.496948,23354434
2020-02-18,552.968018,558.366638,527.398071,538.146301,531.406921,21865560
2020-02-19,538.980652,543.397705,528.821350,533.385681,526.705933,22088140
2020-02-20,533.680176,541.827209,528.674133,535.545166,528.838318,16010058
2020-02-24,532.011475,532.060547,517.386047,520.134460,513.620667,9834434
2020-02-25,523.177368,528.036133,521.165100,525.385864,518.806274,9804202
2020-02-26,522.882874,529.459412,510.711395,526.072998,519.484802,18965240
2020-02-27,524.846008,525.974792,517.287903,521.852234,515.316895,11381143
2020-02-28,515.226624,518.662109,504.036713,513.852417,507.417267,16934165
2020-03-02,524.158936,526.122070,502.417114,508.797333,502.425476,10096159
2020-03-03,514.343201,523.520874,504.674744,511.202179,504.800232,10563605
2020-03-04,515.324768,522.981018,498.049133,507.226807,500.874634,18066379
2020-03-05,513.165344,520.919739,507.128662,517.189758,510.712799,14344961
2020-03-06,508.208374,513.999634,502.024475,509.582581,503.200928,9503868
2020-03-09,500.601227,502.564362,482.000427,487.104614,481.004456,15664232
2020-03-11,478.025085,499.128845,478.025085,484.699768,478.629730,21401999
2020-03-12,469.681732,472.626434,450.737396,456.381439,450.666046,14471096
2020-03-13,445.436920,499.668732,412.259827,482.785706,476.739594,24254296
2020-03-16,463.546906,483.865417,447.743622,456.234192,450.520630,14936276
2020-03-17,456.430511,472.135651,436.161072,446.320343,440.730957,12629709
2020-03-18,451.522675,469.976196,399.941101,417.707550,412.476471,29342689
2020-03-19,408.775238,443.326538,355.083313,436.553711,431.086609,24017236
2020-03-20,436.799103,463.301514,428.602966,454.123810,448.436676,19758966
2020-03-23,408.726166,437.486206,392.137604,399.842957,394.835602,14907385
2020-03-24,403.327515,429.780853,392.775635,396.603760,391.636963,12947855
2020-03-25,399.057678,430.173492,398.125214,421.192108,415.917358,14093189
2020-03-26,418.640045,484.356201,412.505219,462.025482,456.239380,22302573
2020-03-27,462.025482,466.049927,429.437317,440.676300,435.157562,16378409
2020-03-30,435.670288,441.019867,420.112396,423.106171,417.807465,10210726
