Date,Open,High,Low,Close,Adj Close,Volume
2019-07-29,2110.800049,2142.000000,2103.300049,2130.000000,1907.905640,1647090
2019-07-30,2130.000000,2185.000000,2120.449951,2179.149902,1951.930664,2851672
2019-07-31,2171.750000,2211.699951,2147.149902,2205.699951,1975.712158,3000677
2019-08-01,2200.000000,2217.500000,2166.250000,2180.050049,1952.736938,2375236
2019-08-02,2173.000000,2210.000000,2165.500000,2205.300049,1975.354004,2500816
2019-08-05,2199.899902,2252.250000,2195.600098,2248.600098,2014.139526,3039682
2019-08-06,2232.800049,2251.949951,2211.449951,2214.899902,1983.953125,2885467
2019-08-07,2230.000000,2238.500000,2207.250000,2213.449951,1982.654175,2165362
2019-08-08,2228.899902,2281.000000,2218.899902,2258.100098,2022.648315,2073298
2019-08-09,2260.000000,2267.899902,2241.350098,2246.250000,2012.034180,1744550
2019-08-13,2245.000000,2246.250000,2194.300049,2199.449951,1970.114014,1647281
2019-08-14,2181.100098,2217.850098,2167.399902,2204.399902,1974.547852,1945002
2019-08-16,2241.399902,2241.399902,2143.250000,2165.100098,1939.345703,3755507
2019-08-19,2180.000000,2186.000000,2157.699951,2163.000000,1937.464722,974884
2019-08-20,2172.000000,2205.000000,2166.500000,2186.750000,1958.738525,1843611
2019-08-21,2184.949951,2202.000000,2182.250000,2186.199951,1958.245239,1214408
2019-08-22,2187.000000,2235.649902,2170.000000,2216.000000,1984.938354,2131601
2019-08-23,2214.949951,2259.899902,2213.899902,2247.699951,2013.332886,2826425
2019-08-26,2247.000000,2282.000000,2225.000000,2276.300049,2038.951050,2345475
2019-08-27,2270.000000,2274.850098,2229.000000,2236.500000,2003.300659,3432106
2019-08-28,2240.000000,2252.149902,2216.000000,2239.250000,2005.764404,1294621
2019-08-29,2222.199951,2248.199951,2222.199951,2233.449951,2000.568848,1670652
2019-08-30,2241.000000,2266.000000,2218.000000,2259.600098,2023.992310,2583625
2019-09-03,2270.000000,2296.199951,2236.949951,2251.600098,2016.826538,2545060
2019-09-04,2265.000000,2270.000000,2233.000000,2245.399902,2011.273071,2228092
2019-09-05,2242.199951,2253.649902,2207.300049,2215.300049,1984.311279,2055943
2019-09-06,2216.000000,2233.500000,2192.600098,2197.500000,1968.367432,1890550
2019-09-09,2200.000000,2202.850098,2179.800049,2182.850098,1955.245239,1703945
2019-09-11,2186.000000,2195.000000,2146.550049,2154.000000,1929.403320,2627440
2019-09-12,2155.000000,2165.000000,2120.350098,2133.600098,1911.130371,2118859
2019-09-13,2135.000000,2157.949951,2115.550049,2141.949951,1918.609375,2291174
2019-09-16,2159.949951,2173.399902,2126.399902,2150.000000,1925.820068,2597948
2019-09-17,2154.949951,2156.550049,2105.600098,2122.649902,1901.322144,2796530
2019-09-18,2126.399902,2142.949951,2113.149902,2138.550049,1915.563965,1454663
2019-09-19,2135.000000,2135.800049,2091.000000,2101.949951,1882.780396,1652691
2019-09-20,2104.899902,2129.399902,2057.000000,2065.449951,1850.085693,6941979
2019-09-23,2099.000000,2099.000000,1975.000000,2015.800049,1805.613037,6323401
